DATES,stock_name,sma_short_mavg,sma_long_mavg,sma_signal,sma_positions,sma_action,macd,macd_signal_line,macd_signal,macd_positions,macd_action,bollinger_mavg,bollinger_std,bollinger_upper_band,bollinger_lower_band,bollinger_signal,bollinger_positions,bollinger_action
11/07/2012,BJTM IJ Equity,430.0,430.0,0.0,,Hold,0.0,0.0,0.0,,Hold,,,,,0.0,,Hold
12/07/2012,BJTM IJ Equity,435.0,435.0,0.0,0.0,Hold,0.7977207977207854,0.1595441595441571,1.0,1.0,Buy,,,,,0.0,0.0,Hold
13/07/2012,BJTM IJ Equity,438.3333333333333,438.3333333333333,0.0,0.0,Hold,1.8124852882687605,0.49013238528907777,1.0,0.0,Hold,,,,,0.0,0.0,Hold
14/07/2012,BJTM IJ Equity,440.0,440.0,0.0,0.0,Hold,2.586873589543984,0.9094806261400591,1.0,0.0,Hold,,,,,0.0,0.0,Hold
15/07/2012,BJTM IJ Equity,441.0,441.0,0.0,0.0,Hold,3.1641080296936366,1.3604061068507747,1.0,0.0,Hold,,,,,0.0,0.0,Hold
16/07/2012,BJTM IJ Equity,442.5,442.5,0.0,0.0,Hold,3.9791594226348934,1.8841567700075985,1.0,0.0,Hold,,,,,0.0,0.0,Hold
17/07/2012,BJTM IJ Equity,443.57142857142856,443.57142857142856,0.0,0.0,Hold,4.572385905165675,2.421802597039214,1.0,0.0,Hold,,,,,0.0,0.0,Hold
18/07/2012,BJTM IJ Equity,443.125,443.125,0.0,0.0,Hold,4.187336728741968,2.774909423379765,1.0,0.0,Hold,,,,,0.0,0.0,Hold
19/07/2012,BJTM IJ Equity,442.22222222222223,442.22222222222223,0.0,0.0,Hold,3.4390806876266424,2.9077436762291407,1.0,0.0,Hold,,,,,0.0,0.0,Hold
20/07/2012,BJTM IJ Equity,441.5,441.5,0.0,0.0,Hold,2.8136483968653465,2.888924620356382,0.0,-1.0,Sell,,,,,0.0,0.0,Hold
21/07/2012,BJTM IJ Equity,440.90909090909093,440.90909090909093,0.0,0.0,Hold,2.291572973655036,2.769454291016113,0.0,0.0,Hold,,,,,0.0,0.0,Hold
22/07/2012,BJTM IJ Equity,440.4166666666667,440.4166666666667,0.0,0.0,Hold,1.8564247306993025,2.5868483789527508,0.0,0.0,Hold,,,,,0.0,0.0,Hold
23/07/2012,BJTM IJ Equity,438.84615384615387,438.84615384615387,0.0,0.0,Hold,0.297759586153461,2.129030620392893,0.0,0.0,Hold,,,,,0.0,0.0,Hold
24/07/2012,BJTM IJ Equity,437.85714285714283,437.85714285714283,0.0,0.0,Hold,-0.5279496819227347,1.5976345599297674,0.0,0.0,Hold,,,,,0.0,0.0,Hold
25/07/2012,BJTM IJ Equity,437.6666666666667,437.6666666666667,0.0,0.0,Hold,-0.37113557933946595,1.203880532075921,0.0,0.0,Hold,,,,,0.0,0.0,Hold
26/07/2012,BJTM IJ Equity,436.875,436.875,0.0,0.0,Hold,-1.0417668598871046,0.754751053683316,0.0,0.0,Hold,,,,,0.0,0.0,Hold
27/07/2012,BJTM IJ Equity,436.1764705882353,436.1764705882353,0.0,0.0,Hold,-1.5553182408303314,0.2927371947805865,0.0,0.0,Hold,,,,,0.0,0.0,Hold
28/07/2012,BJTM IJ Equity,435.55555555555554,435.55555555555554,0.0,0.0,Hold,-1.9399488869729566,-0.15380002157012213,0.0,0.0,Hold,,,,,0.0,0.0,Hold
29/07/2012,BJTM IJ Equity,435.0,435.0,0.0,0.0,Hold,-2.219190004184725,-0.5668780180930426,0.0,0.0,Hold,,,,,0.0,0.0,Hold
30/07/2012,BJTM IJ Equity,434.5,434.5,0.0,0.0,Hold,-2.412678742693231,-0.9360381630130803,0.0,0.0,Hold,434.5,9.304780887716873,453.10956177543375,415.89043822456625,0.0,0.0,Hold
31/07/2012,BJTM IJ Equity,434.04761904761904,434.04761904761904,0.0,0.0,Hold,-2.5367775692432133,-1.256186044259107,0.0,0.0,Hold,434.25,9.497229512918636,453.2444590258373,415.2555409741627,0.0,0.0,Hold
01/08/2012,BJTM IJ Equity,434.09090909090907,434.09090909090907,0.0,0.0,Hold,-1.8073760507938914,-1.3664240455660641,0.0,0.0,Hold,434.0,9.403246919632553,452.8064938392651,415.1935061607349,0.0,0.0,Hold
02/08/2012,BJTM IJ Equity,433.9130434782609,433.9130434782609,0.0,0.0,Hold,-1.6141711454471306,-1.4159734655422775,0.0,0.0,Hold,433.25,9.0720797824395,451.394159564879,415.105840435121,0.0,0.0,Hold
03/08/2012,BJTM IJ Equity,433.5416666666667,433.5416666666667,0.0,0.0,Hold,-1.8432650669509485,-1.5014317858240118,0.0,0.0,Hold,432.25,8.807144229186008,449.864288458372,414.635711541628,0.0,0.0,Hold
04/08/2012,BJTM IJ Equity,433.2,433.2,0.0,0.0,Hold,-2.0017487368817797,-1.6014951760355656,0.0,0.0,Hold,431.25,8.409737463828849,448.0694749276577,414.4305250723423,0.0,0.0,Hold
05/08/2012,BJTM IJ Equity,432.88461538461536,432.88461538461536,0.0,0.0,Hold,-2.103104902931534,-1.7018171214147593,0.0,0.0,Hold,430.0,7.254762501100127,444.50952500220023,415.49047499779977,0.0,0.0,Hold
06/08/2012,BJTM IJ Equity,432.4074074074074,432.4074074074074,0.0,0.0,Hold,-2.5574083959571112,-1.8729353763232297,0.0,0.0,Hold,428.5,5.871429486124014,440.24285897224803,416.75714102775197,0.0,0.0,Hold
07/08/2012,BJTM IJ Equity,432.14285714285717,432.14285714285717,0.0,0.0,Hold,-2.4853395270060332,-1.9954162064597905,0.0,0.0,Hold,427.75,5.250313273861322,438.2506265477226,417.2493734522774,0.0,0.0,Hold
08/08/2012,BJTM IJ Equity,431.8965517241379,431.8965517241379,0.0,0.0,Hold,-2.400552355867717,-2.0764434363413757,0.0,0.0,Hold,427.25,4.993416718672293,437.23683343734456,417.26316656265544,0.0,0.0,Hold
09/08/2012,BJTM IJ Equity,431.6666666666667,431.6666666666667,0.0,0.0,Hold,-2.3067669385272325,-2.1225081367785474,0.0,0.0,Hold,426.75,4.666510022433669,436.08302004486734,417.41697995513266,0.0,0.0,Hold
