DATES,BJTM IJ Equity,BKSL IJ Equity
11/07/2012,430,219.807675
12/07/2012,440,219.807675
13/07/2012,445,214.92306
14/07/2012,445,214.92306
15/07/2012,445,214.92306
16/07/2012,450,219.807675
17/07/2012,450,219.807675
18/07/2012,440,214.92306
19/07/2012,435,224.69229
20/07/2012,435,229.576905
21/07/2012,435,229.576905
22/07/2012,435,229.576905
23/07/2012,420,219.807675
24/07/2012,425,214.92306
25/07/2012,435,214.92306
26/07/2012,425,214.92306
27/07/2012,425,219.807675
28/07/2012,425,219.807675
29/07/2012,425,219.807675
30/07/2012,425,210.038445
31/07/2012,425,214.92306
01/08/2012,435,214.92306
02/08/2012,430,210.038445
03/08/2012,425,214.92306
04/08/2012,425,214.92306
05/08/2012,425,214.92306
06/08/2012,420,214.92306
07/08/2012,425,210.038445
08/08/2012,425,210.038445
09/08/2012,425,205.15383
10/08/2012,415,205.15383
11/08/2012,415,205.15383
12/08/2012,415,205.15383
13/08/2012,415,200.269215
14/08/2012,415,200.269215
15/08/2012,415,200.269215
16/08/2012,405,200.269215
17/08/2012,405,200.269215
18/08/2012,405,200.269215
19/08/2012,405,200.269215
20/08/2012,405,200.269215
21/08/2012,405,200.269215
22/08/2012,405,200.269215
23/08/2012,415,200.269215
24/08/2012,410,200.269215
25/08/2012,410,200.269215
26/08/2012,410,200.269215
27/08/2012,410,195.3846
28/08/2012,410,200.269215
29/08/2012,395,195.3846
30/08/2012,375,186.592293
31/08/2012,385,186.592293
01/09/2012,385,186.592293
02/09/2012,385,186.592293
03/09/2012,385,189.523062
04/09/2012,385,185.61537
05/09/2012,390,182.684601
06/09/2012,395,188.546139
07/09/2012,410,190.499985
08/09/2012,410,190.499985
09/09/2012,410,190.499985
10/09/2012,415,189.523062
11/09/2012,410,200.269215
12/09/2012,405,200.269215
13/09/2012,405,195.3846
14/09/2012,405,205.15383
15/09/2012,405,205.15383
16/09/2012,405,205.15383
17/09/2012,405,214.92306
18/09/2012,390,210.038445
19/09/2012,400,214.92306
20/09/2012,395,210.038445
21/09/2012,390,210.038445
22/09/2012,390,210.038445
23/09/2012,390,210.038445
24/09/2012,395,205.15383
25/09/2012,395,214.92306
26/09/2012,390,205.15383
27/09/2012,390,205.15383
28/09/2012,385,205.15383
29/09/2012,385,205.15383
30/09/2012,385,205.15383
01/10/2012,385,205.15383
02/10/2012,380,200.269215
03/10/2012,380,194.407677
04/10/2012,380,194.407677
05/10/2012,380,194.407677
06/10/2012,380,194.407677
07/10/2012,380,194.407677
08/10/2012,380,193.430754
09/10/2012,375,192.453831
10/10/2012,375,191.476908
11/10/2012,375,193.430754
12/10/2012,370,190.499985
13/10/2012,370,190.499985
14/10/2012,370,190.499985
15/10/2012,365,191.476908
16/10/2012,370,192.453831
17/10/2012,370,192.453831
18/10/2012,370,190.499985
19/10/2012,370,188.546139
20/10/2012,370,188.546139
21/10/2012,370,188.546139
22/10/2012,370,190.499985
23/10/2012,370,189.523062
24/10/2012,370,189.523062
25/10/2012,375,189.523062
26/10/2012,375,189.523062
27/10/2012,375,189.523062
28/10/2012,375,189.523062
29/10/2012,370,188.546139
30/10/2012,370,187.569216
31/10/2012,370,188.546139
01/11/2012,365,183.661524
02/11/2012,365,184.638447
03/11/2012,365,184.638447
04/11/2012,365,184.638447
05/11/2012,365,182.684601
06/11/2012,360,182.684601
07/11/2012,370,185.61537
08/11/2012,370,183.661524
09/11/2012,365,182.684601
10/11/2012,365,182.684601
11/11/2012,365,182.684601
12/11/2012,365,181.707678
13/11/2012,365,189.523062
14/11/2012,370,193.430754
15/11/2012,370,193.430754
16/11/2012,370,193.430754
17/11/2012,370,193.430754
18/11/2012,370,193.430754
19/11/2012,360,190.499985
20/11/2012,365,187.569216
21/11/2012,370,186.592293
22/11/2012,385,189.523062
23/11/2012,390,189.523062
24/11/2012,390,189.523062
25/11/2012,390,189.523062
26/11/2012,400,189.523062
27/11/2012,395,188.546139
28/11/2012,395,183.661524
29/11/2012,400,184.638447
30/11/2012,395,185.61537
01/12/2012,395,185.61537
02/12/2012,395,185.61537
03/12/2012,390,181.707678
04/12/2012,370,181.707678
05/12/2012,380,184.638447
06/12/2012,385,186.592293
07/12/2012,390,188.546139
08/12/2012,390,188.546139
09/12/2012,390,188.546139
10/12/2012,385,187.569216
11/12/2012,375,185.61537
12/12/2012,375,184.638447
13/12/2012,375,186.592293
14/12/2012,375,185.61537
15/12/2012,375,185.61537
16/12/2012,375,185.61537
17/12/2012,375,187.569216
18/12/2012,370,186.592293
19/12/2012,370,184.638447
20/12/2012,370,184.638447
21/12/2012,370,185.61537
22/12/2012,370,185.61537
23/12/2012,370,185.61537
24/12/2012,370,185.61537
25/12/2012,370,185.61537
26/12/2012,370,184.638447
27/12/2012,375,186.592293
28/12/2012,380,184.638447
29/12/2012,380,184.638447
30/12/2012,380,184.638447
31/12/2012,380,184.638447
01/01/2013,380,184.638447
02/01/2013,390,185.61537
03/01/2013,375,190.499985
04/01/2013,385,195.3846
05/01/2013,385,195.3846
06/01/2013,385,195.3846
07/01/2013,385,205.15383
08/01/2013,385,200.269215
09/01/2013,380,214.92306
10/01/2013,385,210.038445
11/01/2013,385,224.69229
12/01/2013,385,224.69229
13/01/2013,385,224.69229
14/01/2013,385,239.346135
15/01/2013,385,234.46152
16/01/2013,380,268.653825
17/01/2013,395,258.884595
18/01/2013,390,268.653825
19/01/2013,390,268.653825
20/01/2013,390,268.653825
21/01/2013,390,253.99998
22/01/2013,390,258.884595
23/01/2013,390,253.99998
24/01/2013,390,253.99998
25/01/2013,390,249.115365
26/01/2013,390,249.115365
27/01/2013,390,249.115365
28/01/2013,390,249.115365
29/01/2013,390,253.99998
30/01/2013,390,258.884595
31/01/2013,385,249.115365
01/02/2013,395,249.115365
02/02/2013,395,249.115365
03/02/2013,395,249.115365
04/02/2013,395,249.115365
05/02/2013,395,249.115365
06/02/2013,415,249.115365
07/02/2013,410,249.115365
08/02/2013,400,244.23075
09/02/2013,400,244.23075
10/02/2013,400,244.23075
11/02/2013,400,239.346135
12/02/2013,400,249.115365
13/02/2013,400,249.115365
14/02/2013,410,244.23075
15/02/2013,410,239.346135
16/02/2013,410,239.346135
17/02/2013,410,239.346135
18/02/2013,410,239.346135
19/02/2013,405,244.23075
20/02/2013,415,258.884595
21/02/2013,410,258.884595
22/02/2013,425,268.653825
23/02/2013,425,268.653825
24/02/2013,425,268.653825
25/02/2013,435,268.653825
26/02/2013,425,263.76921
27/02/2013,430,283.30767
28/02/2013,435,288.192285
01/03/2013,445,288.192285
02/03/2013,445,288.192285
