DATES,BJTM IJ Equity,BKSL IJ Equity
11/07/2012,430,219.807675
12/07/2012,470,214.92306
13/07/2012,440,219.807675
14/07/2012,440,219.807675
15/07/2012,440,219.807675
16/07/2012,445,219.807675
17/07/2012,450,219.807675
18/07/2012,450,214.92306
19/07/2012,440,219.807675
20/07/2012,435,224.69229
21/07/2012,435,224.69229
22/07/2012,435,224.69229
23/07/2012,430,219.807675
24/07/2012,415,214.92306
25/07/2012,420,214.92306
26/07/2012,435,210.038445
27/07/2012,430,214.92306
28/07/2012,430,214.92306
29/07/2012,430,214.92306
30/07/2012,430,219.807675
31/07/2012,425,210.038445
01/08/2012,420,214.92306
02/08/2012,435,214.92306
03/08/2012,420,210.038445
04/08/2012,420,210.038445
05/08/2012,420,210.038445
06/08/2012,430,214.92306
07/08/2012,420,214.92306
08/08/2012,425,210.038445
09/08/2012,425,205.15383
10/08/2012,425,205.15383
11/08/2012,425,205.15383
12/08/2012,425,205.15383
13/08/2012,420,205.15383
14/08/2012,415,200.269215
15/08/2012,410,200.269215
16/08/2012,415,200.269215
17/08/2012,415,200.269215
18/08/2012,415,200.269215
19/08/2012,415,200.269215
20/08/2012,415,200.269215
21/08/2012,415,200.269215
22/08/2012,415,200.269215
23/08/2012,410,200.269215
24/08/2012,415,195.3846
25/08/2012,415,195.3846
26/08/2012,415,195.3846
27/08/2012,415,195.3846
28/08/2012,410,195.3846
29/08/2012,410,195.3846
30/08/2012,390,194.407677
31/08/2012,375,185.61537
01/09/2012,375,185.61537
02/09/2012,375,185.61537
03/09/2012,385,186.592293
04/09/2012,385,189.523062
05/09/2012,385,184.638447
06/09/2012,390,182.684601
07/09/2012,400,190.499985
08/09/2012,400,190.499985
09/09/2012,400,190.499985
10/09/2012,410,190.499985
11/09/2012,415,187.569216
12/09/2012,410,195.3846
13/09/2012,405,200.269215
14/09/2012,410,200.269215
15/09/2012,410,200.269215
16/09/2012,410,200.269215
17/09/2012,405,205.15383
18/09/2012,400,210.038445
19/09/2012,390,210.038445
20/09/2012,395,214.92306
21/09/2012,395,210.038445
22/09/2012,395,210.038445
23/09/2012,395,210.038445
24/09/2012,395,205.15383
25/09/2012,395,205.15383
26/09/2012,395,210.038445
27/09/2012,390,205.15383
28/09/2012,390,205.15383
29/09/2012,390,205.15383
30/09/2012,390,205.15383
01/10/2012,390,205.15383
02/10/2012,385,205.15383
03/10/2012,380,200.269215
04/10/2012,375,195.3846
05/10/2012,375,195.3846
06/10/2012,375,195.3846
07/10/2012,375,195.3846
08/10/2012,380,195.3846
09/10/2012,380,194.407677
10/10/2012,375,192.453831
11/10/2012,375,190.499985
12/10/2012,375,194.407677
13/10/2012,375,194.407677
14/10/2012,375,194.407677
15/10/2012,370,191.476908
16/10/2012,365,192.453831
17/10/2012,370,194.407677
18/10/2012,370,192.453831
19/10/2012,365,191.476908
20/10/2012,365,191.476908
21/10/2012,365,191.476908
22/10/2012,365,186.592293
23/10/2012,370,191.476908
24/10/2012,365,188.546139
25/10/2012,365,189.523062
26/10/2012,365,189.523062
27/10/2012,365,189.523062
28/10/2012,365,189.523062
29/10/2012,370,189.523062
30/10/2012,370,188.546139
31/10/2012,365,187.569216
01/11/2012,370,186.592293
02/11/2012,365,185.61537
03/11/2012,365,185.61537
04/11/2012,365,185.61537
05/11/2012,365,184.638447
06/11/2012,365,182.684601
07/11/2012,365,182.684601
08/11/2012,365,183.661524
09/11/2012,370,182.684601
10/11/2012,370,182.684601
11/11/2012,370,182.684601
12/11/2012,365,181.707678
13/11/2012,365,181.707678
14/11/2012,365,191.476908
15/11/2012,365,191.476908
16/11/2012,365,191.476908
17/11/2012,365,191.476908
18/11/2012,365,191.476908
19/11/2012,365,194.407677
20/11/2012,360,190.499985
21/11/2012,365,189.523062
22/11/2012,365,186.592293
23/11/2012,385,191.476908
24/11/2012,385,191.476908
25/11/2012,385,191.476908
26/11/2012,390,189.523062
27/11/2012,400,189.523062
28/11/2012,395,188.546139
29/11/2012,395,185.61537
30/11/2012,400,185.61537
01/12/2012,400,185.61537
02/12/2012,400,185.61537
03/12/2012,395,185.61537
04/12/2012,390,182.684601
05/12/2012,370,180.730755
06/12/2012,380,187.569216
07/12/2012,380,187.569216
08/12/2012,380,187.569216
09/12/2012,380,187.569216
10/12/2012,385,191.476908
11/12/2012,380,188.546139
12/12/2012,375,186.592293
13/12/2012,375,185.61537
14/12/2012,370,186.592293
15/12/2012,370,186.592293
16/12/2012,370,186.592293
17/12/2012,375,185.61537
18/12/2012,375,187.569216
19/12/2012,370,186.592293
20/12/2012,370,183.661524
21/12/2012,370,182.684601
22/12/2012,370,182.684601
23/12/2012,370,182.684601
24/12/2012,370,182.684601
25/12/2012,370,182.684601
26/12/2012,365,185.61537
27/12/2012,365,184.638447
28/12/2012,370,186.592293
29/12/2012,370,186.592293
30/12/2012,370,186.592293
31/12/2012,370,186.592293
01/01/2013,370,186.592293
02/01/2013,380,185.61537
03/01/2013,390,185.61537
04/01/2013,380,190.499985
05/01/2013,380,190.499985
06/01/2013,380,190.499985
07/01/2013,380,195.3846
08/01/2013,380,205.15383
09/01/2013,380,200.269215
10/01/2013,380,214.92306
11/01/2013,380,214.92306
12/01/2013,380,214.92306
13/01/2013,380,214.92306
14/01/2013,380,224.69229
15/01/2013,380,239.346135
16/01/2013,380,234.46152
17/01/2013,380,263.76921
18/01/2013,395,258.884595
19/01/2013,395,258.884595
20/01/2013,395,258.884595
21/01/2013,390,268.653825
22/01/2013,390,253.99998
23/01/2013,390,258.884595
24/01/2013,390,258.884595
25/01/2013,390,258.884595
26/01/2013,390,258.884595
27/01/2013,390,258.884595
28/01/2013,390,249.115365
29/01/2013,390,249.115365
30/01/2013,390,258.884595
31/01/2013,390,258.884595
01/02/2013,390,253.99998
02/02/2013,390,253.99998
03/02/2013,390,253.99998
04/02/2013,395,253.99998
05/02/2013,390,249.115365
06/02/2013,395,249.115365
07/02/2013,415,249.115365
08/02/2013,410,244.23075
09/02/2013,410,244.23075
10/02/2013,410,244.23075
11/02/2013,400,244.23075
12/02/2013,400,239.346135
13/02/2013,400,253.99998
14/02/2013,400,244.23075
15/02/2013,410,244.23075
16/02/2013,410,244.23075
17/02/2013,410,244.23075
18/02/2013,410,244.23075
19/02/2013,405,239.346135
20/02/2013,410,244.23075
21/02/2013,410,253.99998
22/02/2013,410,263.76921
23/02/2013,410,263.76921
24/02/2013,410,263.76921
25/02/2013,430,268.653825
26/02/2013,430,263.76921
27/02/2013,425,263.76921
28/02/2013,430,288.192285
01/03/2013,435,288.192285
02/03/2013,435,288.192285
03/03/2013,435,288.192285
04/03/2013,445,288.192285
05/03/2013,440,283.30767
06/03/2013,440,302.84613
07/03/2013,440,302.84613
08/03/2013,440,327.269205
09/03/2013,440,327.269205
10/03/2013,440,327.269205
11/03/2013,445,312.61536
12/03/2013,445,312.61536
13/03/2013,465,307.730745
14/03/2013,475,302.84613
15/03/2013,480,302.84613
16/03/2013,480,302.84613
17/03/2013,480,302.84613
18/03/2013,470,297.961515
19/03/2013,465,297.961515
20/03/2013,480,288.192285
21/03/2013,490,302.84613
22/03/2013,490,297.961515
23/03/2013,490,297.961515
24/03/2013,490,297.961515
25/03/2013,485,293.0769
26/03/2013,490,297.961515
27/03/2013,520,307.730745
28/03/2013,510,307.730745
29/03/2013,510,307.730745
30/03/2013,510,307.730745
31/03/2013,510,307.730745
01/04/2013,520,307.730745
02/04/2013,520,302.84613
03/04/2013,520,297.961515
04/04/2013,510,268.653825
05/04/2013,520,278.423055
06/04/2013,520,278.423055
07/04/2013,520,278.423055
08/04/2013,520,278.423055
09/04/2013,520,268.653825
10/04/2013,520,268.653825
11/04/2013,500,268.653825
12/04/2013,510,268.653825
13/04/2013,510,268.653825
14/04/2013,510,268.653825
15/04/2013,510,268.653825
16/04/2013,500,263.76921
17/04/2013,510,263.76921
18/04/2013,530,253.99998
19/04/2013,485,249.115365
20/04/2013,485,249.115365
21/04/2013,485,249.115365
22/04/2013,470,258.884595
23/04/2013,465,249.115365
24/04/2013,450,253.99998
25/04/2013,455,268.653825
26/04/2013,455,278.423055
